"institution_id","institution_name","acronym","state_branch","institution_type","parent_institution_id","territorial_level","region_code","region_name","commune_code","commune_name","policy_area_primary","legal_status","source_id","verification_status","last_verified","notes"
"CL-SP-089","Superintendencia de Salud","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-090","Centro de Referencia de Salud de Peñalolén Cordillera Oriente","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-091","Servicio de Salud Iquique","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-092","Servicio de Salud Atacama","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-093","Servicio de Salud Valparaíso - San Antonio","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-094","Servicio de Salud Viña Del Mar - Quillota","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-095","Servicio de Salud Concepción","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-096","Servicio de Salud Talcahuano","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-097","Servicio de Salud de Chiloé","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-098","Instituto Pedro Aguirre Cerda","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-099","Instituto de Neurocirugía","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-100","Instituto Nacional del Tórax","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-101","Instituto Traumatológico","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-102","Servicio de Salud Araucanía Norte","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-103","Servicio de Salud Valdivia","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-104","Centro de Referencia de Salud de Maipú","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-105","Fondo Nacional de Salud (FONASA)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-106","Servicio de Salud Metropolitano Norte","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-107","Servicio de Salud Metropolitano Sur","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-108","Servicio de Salud Aconcagua","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-109","Servicio de Salud O'Higgins","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-110","Servicio de Salud Ñuble","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-111","SERVIU III Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-112","SERVIU VII Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-113","SERVIU IX Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-114","SERVIU Arica y Parinacota","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-115","SERVIU VI Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-116","SERVIU II Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-117","SERVIU Región de Los Ríos","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-118","SERVIU I Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-119","SERVIU XI Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-120","SERVIU IV Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-121","SERVIU V Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-122","SERVIU RM","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-123","SERVIU VIII Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-124","SERVIU XII Región","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-125","Parque Metropolitano de Santiago","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-126","Oficina de Estudios y Políticas Agrarias (ODEPA)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-127","Comisión Nacional de Riego (CNR)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-128","Instituto de Desarrollo Agropecuario (INDAP)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-129","Servicio Agrícola Ganadero (SAG)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-130","Servicio Nacional de Geología y Minería (SERNAGEOMIN)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-131","Comisión Chilena del Cobre (COCHILCO)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-132","Junta de Aeronáutica Civil","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-133","Comisión Nacional de Energía (CNE)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-134","Comisión Chilena de Energía Nuclear (CCHEN)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-135","Superintendencia de Electricidad y Combustibles (SEC)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-136","Servicio Evaluación Ambiental","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-137","Superintendencia del Medio Ambiente","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-138","Instituto Nacional del Deporte (CHILEDEPORTES)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-139","Servicio Nacional del Patrimonio Cultural","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-140","Agencia Nacional de Investigación y Desarrollo","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-141","Comisión Nacional de Seguridad de Tránsito","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-142","Superintendencia de Educación Superior","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-143","ProChile","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-144","Servicio Nacional de Prevención y Respuesta ante Desastres","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-145","Agencia de Calidad de la Educación","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-146","Educación Pública","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-147","Instituto Nacional de Desarrollo Sustentable de la Pesca Artesanal y de la Acuicultura de Pequeña Escala (INDESPA)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-148","Dirección General de Aguas (DGA)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-149","Dirección de Contabilidad y Finanzas","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-150","Dirección de Obras Hidráulicas (DOH)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-151","Dirección de Obras Portuarias (DOP)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-152","Dirección de Planeamiento (DIRPLAN)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-153","Dirección de Vialidad","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-154","Servicio Nacional de la Mujer y la Equidad de Género (SernamEG)","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-155","Servicio de Salud Antofagasta","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-156","Servicio de Salud Arauco","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-157","Servicio de Salud Aysén","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-158","Servicio de Salud del Reloncaví","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-159","Servicio de Salud Magallanes","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-160","Servicio de Salud Metropolitano Occidente","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-161","Servicio de Salud Metropolitano Oriente","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SP-162","Servicio de Salud Osorno","","Poder Ejecutivo","Servicio público / repartición listada por Gob.cl","","Nacional o desconcentrado","","","","","","","SRC-GOB","official_directory_as_published","2026-09-19","Registro preservado exactamente como aparece en el directorio Gob.cl; puede requerir normalización por cambios institucionales."
"CL-SUP-ANCI","Agencia Nacional de Ciberseguridad","ANCI","Poder Ejecutivo","Servicio público / agencia","CL-MIN-SEG","Nacional","","","","","Ciberseguridad","Vigente","SRC-ANCI","current_official_supplement","2026-09-19","Suplemento actual verificado para corregir/expandir el directorio general."
"CL-SUP-SERMIG","Servicio Nacional de Migraciones","SERMIG","Poder Ejecutivo","Servicio público","CL-MIN-INT","Nacional","","","","","Migraciones","Vigente","SRC-SERMIG","current_official_supplement","2026-09-19","Suplemento actual verificado para corregir/expandir el directorio general."
"CL-SUP-SBAP","Servicio de Biodiversidad y Áreas Protegidas","SBAP","Poder Ejecutivo","Servicio público","CL-MIN-MMA","Nacional","","","","","Biodiversidad y áreas protegidas","Vigente","SRC-SBAP","current_official_supplement","2026-09-19","Suplemento actual verificado para corregir/expandir el directorio general."
"CL-SUP-CMF","Comisión para el Mercado Financiero","CMF","Poder Ejecutivo","Organismo regulador","CL-MIN-HAC","Nacional","","","","","Mercado financiero","Vigente","SRC-CMF","current_official_supplement","2026-09-19","Suplemento actual verificado para corregir/expandir el directorio general."
"CL-GORE-15","Gobierno Regional de Arica y Parinacota","GORE","Administración territorial","Gobierno Regional","","Regional","15","Región de Arica y Parinacota","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-15","Delegación Presidencial Regional de Arica y Parinacota","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","15","Región de Arica y Parinacota","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-01","Gobierno Regional de Tarapacá","GORE","Administración territorial","Gobierno Regional","","Regional","01","Región de Tarapacá","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-01","Delegación Presidencial Regional de Tarapacá","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","01","Región de Tarapacá","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-02","Gobierno Regional de Antofagasta","GORE","Administración territorial","Gobierno Regional","","Regional","02","Región de Antofagasta","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-02","Delegación Presidencial Regional de Antofagasta","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","02","Región de Antofagasta","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-03","Gobierno Regional de Atacama","GORE","Administración territorial","Gobierno Regional","","Regional","03","Región de Atacama","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-03","Delegación Presidencial Regional de Atacama","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","03","Región de Atacama","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-04","Gobierno Regional de Coquimbo","GORE","Administración territorial","Gobierno Regional","","Regional","04","Región de Coquimbo","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-04","Delegación Presidencial Regional de Coquimbo","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","04","Región de Coquimbo","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-05","Gobierno Regional de Valparaíso","GORE","Administración territorial","Gobierno Regional","","Regional","05","Región de Valparaíso","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-05","Delegación Presidencial Regional de Valparaíso","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","05","Región de Valparaíso","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-06","Gobierno Regional de Libertador General Bernardo O'Higgins","GORE","Administración territorial","Gobierno Regional","","Regional","06","Región del Libertador General Bernardo O'Higgins","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-06","Delegación Presidencial Regional de Libertador General Bernardo O'Higgins","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","06","Región del Libertador General Bernardo O'Higgins","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-07","Gobierno Regional de Maule","GORE","Administración territorial","Gobierno Regional","","Regional","07","Región del Maule","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-07","Delegación Presidencial Regional de Maule","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","07","Región del Maule","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-16","Gobierno Regional de Ñuble","GORE","Administración territorial","Gobierno Regional","","Regional","16","Región de Ñuble","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-16","Delegación Presidencial Regional de Ñuble","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","16","Región de Ñuble","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
"CL-GORE-08","Gobierno Regional de Biobío","GORE","Administración territorial","Gobierno Regional","","Regional","08","Región del Biobío","","","Gobierno y desarrollo regional","Órgano territorial descentralizado","SRC-BCN","territorial_catalogue_complete","2026-09-19",""
"CL-DPR-08","Delegación Presidencial Regional de Biobío","DPR","Poder Ejecutivo","Delegación Presidencial Regional","CL-MIN-INT","Regional","08","Región del Biobío","","","Gobierno interior","Órgano territorial desconcentrado","SRC-INTERIOR","territorial_catalogue_complete","2026-09-19",""
